date,day_of_week,meal_type,is_holiday_or_event,expected_attendance,actual_attendance,planned_prep_kg,actual_consumed_kg,discarded_kg,waste_percentage,is_high_waste,optimal_prep_kg
2025-01-01,Wednesday,breakfast,0,459,455,146.33,102.1,44.23,30.23,1,105.16
2025-01-01,Wednesday,lunch,0,606,614,275.52,264.5,11.02,4.0,0,272.44
2025-01-01,Wednesday,dinner,0,500,513,229.85,194.94,34.91,15.19,1,200.79
2025-01-02,Thursday,breakfast,1,433,376,133.76,123.15,10.61,7.93,0,126.84
2025-01-02,Thursday,lunch,1,582,591,256.86,211.46,45.4,17.67,1,217.8
2025-01-02,Thursday,dinner,1,469,454,220.84,209.68,11.16,5.05,0,215.97
2025-01-03,Friday,breakfast,0,398,400,125.77,99.99,25.78,20.5,1,102.99
2025-01-03,Friday,lunch,0,564,572,251.59,206.99,44.6,17.73,1,213.2
2025-01-03,Friday,dinner,0,463,438,210.55,176.93,33.62,15.97,1,182.24
2025-01-04,Saturday,breakfast,0,259,242,81.34,78.09,3.25,4.0,0,80.43
2025-01-04,Saturday,lunch,0,308,311,142.61,128.48,14.13,9.91,0,132.33
2025-01-04,Saturday,dinner,0,302,286,139.74,88.42,51.32,36.73,1,91.07
2025-01-05,Sunday,breakfast,0,243,255,75.01,56.99,18.02,24.02,1,58.7
2025-01-05,Sunday,lunch,0,339,348,154.36,148.19,6.17,4.0,0,152.64
2025-01-05,Sunday,dinner,0,269,264,129.82,83.01,46.81,36.06,1,85.5
2025-01-06,Monday,breakfast,0,484,479,149.89,124.29,25.6,17.08,1,128.02
2025-01-06,Monday,lunch,0,633,675,291.43,227.97,63.46,21.78,1,234.81
2025-01-06,Monday,dinner,0,522,547,246.62,236.76,9.86,4.0,0,243.86
2025-01-07,Tuesday,breakfast,0,464,500,145.75,130.03,15.72,10.79,0,133.93
2025-01-07,Tuesday,lunch,0,618,574,277.03,265.5,11.53,4.16,0,273.47
2025-01-07,Tuesday,dinner,0,522,531,243.98,193.68,50.3,20.62,1,199.49
2025-01-08,Wednesday,breakfast,1,482,476,147.5,123.12,24.38,16.53,1,126.81
2025-01-08,Wednesday,lunch,1,641,651,293.4,281.66,11.74,4.0,0,290.11
2025-01-08,Wednesday,dinner,1,533,524,243.74,233.99,9.75,4.0,0,241.01
2025-01-09,Thursday,breakfast,0,461,427,147.85,62.87,84.98,57.48,1,64.76
2025-01-09,Thursday,lunch,0,632,619,279.85,236.86,42.99,15.36,1,243.97
2025-01-09,Thursday,dinner,0,528,538,248.7,190.44,58.26,23.43,1,196.15
2025-01-10,Friday,breakfast,0,452,451,139.73,88.54,51.19,36.63,1,91.2
2025-01-10,Friday,lunch,0,567,636,245.88,236.04,9.84,4.0,0,243.12
2025-01-10,Friday,dinner,0,476,462,223.74,180.41,43.33,19.37,1,185.82
2025-01-11,Saturday,breakfast,1,402,417,123.7,100.04,23.66,19.13,1,103.04
2025-01-11,Saturday,lunch,1,533,570,239.39,229.81,9.58,4.0,0,236.7
2025-01-11,Saturday,dinner,1,409,397,186.08,178.64,7.44,4.0,0,184.0
2025-01-12,Sunday,breakfast,0,278,278,85.48,72.76,12.72,14.88,1,74.94
2025-01-12,Sunday,lunch,0,327,334,148.49,142.55,5.94,4.0,0,146.83
2025-01-12,Sunday,dinner,0,293,287,134.02,102.75,31.27,23.33,1,105.83
2025-01-13,Monday,breakfast,0,494,463,158.43,152.09,6.34,4.0,0,156.65
2025-01-13,Monday,lunch,0,687,675,316.51,261.66,54.85,17.33,1,269.51
2025-01-13,Monday,dinner,0,546,567,253.89,243.73,10.16,4.0,0,251.04
2025-01-14,Tuesday,breakfast,0,461,475,140.28,134.67,5.61,4.0,0,138.71
2025-01-14,Tuesday,lunch,0,644,620,278.31,254.5,23.81,8.56,0,262.13
2025-01-14,Tuesday,dinner,0,518,545,238.87,229.32,9.55,4.0,0,236.2
2025-01-15,Wednesday,breakfast,0,461,479,142.77,137.06,5.71,4.0,0,141.17
2025-01-15,Wednesday,lunch,0,666,680,299.82,287.83,11.99,4.0,0,296.46
2025-01-15,Wednesday,dinner,0,539,518,249.29,239.32,9.97,4.0,0,246.5
2025-01-16,Thursday,breakfast,0,477,505,149.62,143.64,5.98,4.0,0,147.95
2025-01-16,Thursday,lunch,0,637,723,279.16,247.42,31.74,11.37,0,254.84
2025-01-16,Thursday,dinner,0,566,567,260.11,232.69,27.42,10.54,0,239.67
2025-01-17,Friday,breakfast,1,430,445,130.18,121.84,8.34,6.41,0,125.5
2025-01-17,Friday,lunch,1,594,580,263.93,253.37,10.56,4.0,0,260.97
2025-01-17,Friday,dinner,1,483,503,221.84,212.97,8.87,4.0,0,219.36
2025-01-18,Saturday,breakfast,0,268,276,81.63,78.36,3.27,4.01,0,80.71
2025-01-18,Saturday,lunch,0,356,335,163.79,151.54,12.25,7.48,0,156.09
2025-01-18,Saturday,dinner,0,323,307,149.7,143.71,5.99,4.0,0,148.02
2025-01-19,Sunday,breakfast,0,277,284,89.14,79.86,9.28,10.41,0,82.26
2025-01-19,Sunday,lunch,0,373,399,168.89,159.77,9.12,5.4,0,164.56
2025-01-19,Sunday,dinner,0,321,331,155.2,112.32,42.88,27.63,1,115.69
2025-01-20,Monday,breakfast,0,455,458,137.96,108.64,29.32,21.25,1,111.9
2025-01-20,Monday,lunch,0,694,629,306.17,235.96,70.21,22.93,1,243.04
2025-01-20,Monday,dinner,0,552,527,260.07,208.99,51.08,19.64,1,215.26
2025-01-21,Tuesday,breakfast,0,472,488,149.32,143.35,5.97,4.0,0,147.65
2025-01-21,Tuesday,lunch,0,685,731,317.31,304.62,12.69,4.0,0,313.76
2025-01-21,Tuesday,dinner,0,511,515,245.44,200.28,45.16,18.4,1,206.29
2025-01-22,Wednesday,breakfast,0,453,435,138.75,133.2,5.55,4.0,0,137.2
2025-01-22,Wednesday,lunch,0,639,618,287.28,275.79,11.49,4.0,0,284.06
2025-01-22,Wednesday,dinner,0,576,586,273.11,262.19,10.92,4.0,0,270.06
2025-01-23,Thursday,breakfast,0,456,444,141.53,119.05,22.48,15.88,1,122.62
2025-01-23,Thursday,lunch,0,686,685,306.75,235.67,71.08,23.17,1,242.74
2025-01-23,Thursday,dinner,0,546,511,254.98,244.78,10.2,4.0,0,252.12
2025-01-24,Friday,breakfast,0,464,461,146.82,118.35,28.47,19.39,1,121.9
2025-01-24,Friday,lunch,0,607,607,275.02,235.43,39.59,14.4,1,242.49
2025-01-24,Friday,dinner,0,497,513,235.05,219.99,15.06,6.41,0,226.59
2025-01-25,Saturday,breakfast,0,299,280,93.49,88.02,5.47,5.85,0,90.66
2025-01-25,Saturday,lunch,0,358,365,165.03,143.62,21.41,12.97,1,147.93
2025-01-25,Saturday,dinner,0,309,299,140.9,135.26,5.64,4.0,0,139.32
2025-01-26,Sunday,breakfast,0,258,249,82.05,65.29,16.76,20.43,1,67.25
2025-01-26,Sunday,lunch,0,374,379,170.37,137.28,33.09,19.42,1,141.4
2025-01-26,Sunday,dinner,0,320,328,153.83,121.46,32.37,21.04,1,125.1
2025-01-27,Monday,breakfast,0,485,487,150.71,120.06,30.65,20.34,1,123.66
2025-01-27,Monday,lunch,0,671,723,306.07,270.13,35.94,11.74,0,278.23
2025-01-27,Monday,dinner,0,576,576,267.47,232.27,35.2,13.16,1,239.24
2025-01-28,Tuesday,breakfast,0,502,495,162.49,123.43,39.06,24.04,1,127.13
2025-01-28,Tuesday,lunch,0,648,667,293.04,195.08,97.96,33.43,1,200.93
2025-01-28,Tuesday,dinner,0,541,573,259.07,192.66,66.41,25.63,1,198.44
2025-01-29,Wednesday,breakfast,0,496,511,151.0,125.22,25.78,17.07,1,128.98
2025-01-29,Wednesday,lunch,0,645,577,296.96,285.08,11.88,4.0,0,293.63
2025-01-29,Wednesday,dinner,0,532,523,243.87,234.12,9.75,4.0,0,241.14
2025-01-30,Thursday,breakfast,0,510,498,163.61,144.52,19.09,11.67,0,148.86
2025-01-30,Thursday,lunch,0,634,641,275.61,264.59,11.02,4.0,0,272.53
2025-01-30,Thursday,dinner,0,537,519,245.09,235.29,9.8,4.0,0,242.35
2025-01-31,Friday,breakfast,0,440,472,137.24,125.03,12.21,8.9,0,128.78
2025-01-31,Friday,lunch,0,578,558,251.89,221.59,30.3,12.03,1,228.24
2025-01-31,Friday,dinner,0,498,477,238.38,216.79,21.59,9.06,0,223.29
2025-02-01,Saturday,breakfast,0,266,246,85.61,58.5,27.11,31.67,1,60.26
2025-02-01,Saturday,lunch,0,357,357,155.07,148.87,6.2,4.0,0,153.34
2025-02-01,Saturday,dinner,0,300,334,143.09,137.37,5.72,4.0,0,141.49
2025-02-02,Sunday,breakfast,1,426,409,134.4,112.25,22.15,16.48,1,115.62
2025-02-02,Sunday,lunch,1,530,491,232.15,219.5,12.65,5.45,0,226.09
2025-02-02,Sunday,dinner,1,392,381,185.5,109.01,76.49,41.23,1,112.28
2025-02-03,Monday,breakfast,0,484,497,148.12,142.2,5.92,4.0,0,146.47
2025-02-03,Monday,lunch,0,610,665,281.73,263.06,18.67,6.63,0,270.95
2025-02-03,Monday,dinner,0,535,542,249.52,186.01,63.51,25.45,1,191.59
2025-02-04,Tuesday,breakfast,0,473,502,147.43,137.83,9.6,6.51,0,141.96
2025-02-04,Tuesday,lunch,0,632,640,293.24,267.61,25.63,8.74,0,275.64
2025-02-04,Tuesday,dinner,0,539,540,258.42,214.97,43.45,16.81,1,221.42
2025-02-05,Wednesday,breakfast,0,442,411,140.31,126.08,14.23,10.14,0,129.86
2025-02-05,Wednesday,lunch,0,601,639,261.82,251.35,10.47,4.0,0,258.89
2025-02-05,Wednesday,dinner,0,578,581,278.73,267.58,11.15,4.0,0,275.61
2025-02-06,Thursday,breakfast,0,512,556,164.88,127.31,37.57,22.79,1,131.13
2025-02-06,Thursday,lunch,0,623,669,273.38,262.44,10.94,4.0,0,270.31
2025-02-06,Thursday,dinner,0,555,506,259.06,243.9,15.16,5.85,0,251.22
2025-02-07,Friday,breakfast,0,419,423,134.06,72.53,61.53,45.9,1,74.71
2025-02-07,Friday,lunch,0,595,553,273.46,220.71,52.75,19.29,1,227.33
2025-02-07,Friday,dinner,0,494,487,240.35,147.79,92.56,38.51,1,152.22
2025-02-08,Saturday,breakfast,0,215,214,68.07,58.6,9.47,13.91,1,60.36
2025-02-08,Saturday,lunch,0,341,322,151.08,138.22,12.86,8.51,0,142.37
2025-02-08,Saturday,dinner,0,289,302,137.57,117.4,20.17,14.66,1,120.92
2025-02-09,Sunday,breakfast,0,246,235,74.88,59.23,15.65,20.9,1,61.01
2025-02-09,Sunday,lunch,0,338,320,148.25,129.1,19.15,12.92,1,132.97
2025-02-09,Sunday,dinner,0,244,242,117.23,102.35,14.88,12.69,1,105.42
2025-02-10,Monday,breakfast,0,448,452,144.24,138.47,5.77,4.0,0,142.62
2025-02-10,Monday,lunch,0,604,581,264.97,252.6,12.37,4.67,0,260.18
2025-02-10,Monday,dinner,0,518,458,245.73,172.27,73.46,29.89,1,177.44
2025-02-11,Tuesday,breakfast,0,415,432,133.82,99.62,34.2,25.56,1,102.61
2025-02-11,Tuesday,lunch,0,674,711,293.48,281.74,11.74,4.0,0,290.19
2025-02-11,Tuesday,dinner,0,471,451,219.62,160.86,58.76,26.76,1,165.69
2025-02-12,Wednesday,breakfast,0,444,419,135.46,121.89,13.57,10.02,0,125.55
2025-02-12,Wednesday,lunch,0,628,661,281.31,270.06,11.25,4.0,0,278.16
2025-02-12,Wednesday,dinner,0,520,497,246.13,193.41,52.72,21.42,1,199.21
2025-02-13,Thursday,breakfast,0,486,476,150.92,117.37,33.55,22.23,1,120.89
2025-02-13,Thursday,lunch,0,624,683,276.68,265.61,11.07,4.0,0,273.58
2025-02-13,Thursday,dinner,0,517,507,237.17,204.48,32.69,13.78,1,210.61
2025-02-14,Friday,breakfast,0,394,384,120.79,91.61,29.18,24.16,1,94.36
2025-02-14,Friday,lunch,0,531,464,246.08,204.66,41.42,16.83,1,210.8
2025-02-14,Friday,dinner,0,456,435,221.7,189.93,31.77,14.33,1,195.63
2025-02-15,Saturday,breakfast,0,252,242,79.98,61.32,18.66,23.33,1,63.16
2025-02-15,Saturday,lunch,0,331,343,149.05,143.09,5.96,4.0,0,147.38
